Var1,Freq
ARRB1,5.73554797734288
ZIC1,5.59831148860569
AL035446.2,5.18976940635861
AL358937.1,5.05589508442943
TPD52L1,4.97216259199291
PHF21B,4.74854148311869
MIR2052HG,4.66869363240514
MCM3AP-AS1,4.64667533410871
ARHGAP42,4.53014043518437
AC005520.2,4.51481546025273
DPP10,4.33607151954858
TRPC5,4.31449773154909
RBMS3,4.29554180111353
AGAP9,4.279695199243
ITPR1,4.25929541584299
SNCA,4.05117940238816
AC023282.1,3.99141995616226
NMNAT2,3.88259415127307
DPP10-AS1,3.84416538061736
AC079382.2,3.82869411318973
AC069185.1,3.79940860468113
NHS,3.7811081487527
AC119673.2,3.77998656884557
ARHGAP24,3.74737352715617
PDS5B,3.7292859322397
LINC02150,3.70480527267632
GNA14,3.69144285431732
MRPS6,3.68978525923978
LGR4,3.63647514360028
AC025810.1,3.631945634007
GDAP1,3.61823820773184
SCN8A,3.58129777965614
CAB39L,3.55026370032794
BMPER,3.54384103386906
PRKCE,3.53581076875897
FBXO17,3.5349436618564
GRAMD1C,3.53404841097985
MRAS,3.51194708263456
EGFR,3.50650257346022
ADGRL3,3.47786602601596
ADGRB3,3.46804528059582
SLC5A3,3.44269953442541
FDFT1,3.43808662239745
LIMD1,3.43264273023979
DYRK1A,3.42723582023005
LINC00551,3.40987564815017
AC016831.5,3.40395202610672
PRUNE2,3.40143872073308
SEM1,3.3919568606512
AC092691.1,3.37667161796329
AC025423.4,3.36131303163708
AC010809.1,3.35537287586925
PPM1E,3.35197098996701
GTF2H2,3.34107243695768
ZNF208,3.3382398039125
CTNNA2,3.33618166157809
GYS2,3.31929624932109
AC104806.2,3.31418988216864
MAP2K4,3.29610227532848
AC093866.1,3.29458502303911
AP001318.2,3.29325761299455
FANCC,3.28429990391155
PIR,3.27827200330514
SLC26A7,3.2610076297877
B4GALNT3,3.25186470942659
ZNF143,3.25134417879658
CNTNAP2,3.24637457026242
P3H3,3.23979520416592
NEAT1,3.23020894972586
HIST1H2AC,3.22653310791331
SLC27A6,3.22457020992764
AL078604.4,3.22222582596506
AL021368.2,3.21574529192548
ZIC4,3.2061438651891
YAF2,3.2037044002982
AL445259.1,3.19776541721889
HOOK2,3.19227236808375
RNF169,3.17623922479003
AL158071.3,3.16998229039204
GRM8,3.16227204100609
LINC02268,3.15720744362394
JAM2,3.15446760557402
LINC02241,3.15418626068762
C9orf24,3.14845191609408
ADGRV1,3.14430408269533
DEAF1,3.14395969638851
CORIN,3.136078781415
AL109615.4,3.13443707738523
LINC00649,3.12786015151378
ARID3A,3.11725770569276
SMYD3,3.10733782737703
RELN,3.10374215218017
AC016831.7,3.10097627417753
NBEA,3.09443900587103
TIAM2,3.09193498236196
MEI4,3.08287291222408
INTS6,3.08037815807458
AR,3.07827797039734
GNB3,3.07439950333973
CACNG7,3.0727485411845
FOXP1,3.05709176802868
AC016766.1,3.04253493310953
ARMC8,3.04187417352211
C9orf153,3.03649616136095
AC093433.2,3.03317174069608
GGA2,3.03122802236188
AC010809.2,3.02510674560216
HECTD2,3.02373369435532
IRAK1BP1,3.02280667133896
KIAA1324,3.00933877526462
BAHCC1,2.9973942025997
ZDHHC11,2.9930995356666
GPR135,2.98653538010851
AC018362.1,2.97934797747631
PHF21A,2.96970902595654
COL5A3,2.96883548793482
PRIM2,2.96779673831593
ZBTB7C,2.96402344280175
FAM135B,2.95556514687406
CXXC4,2.95499825565972
LINC01068,2.95385060903995
PLPP4,2.94835182695873
PXDNL,2.94613564567811
LDLR,2.94507386158671
DACH2,2.94019124662392
AL353138.1,2.93686302945655
KCNIP4,2.93445484651279
MEIS2,2.93351387798677
AC123912.1,2.93133016585458
VEGFB,2.92452745356828
SYCP2,2.92004593058867
AC004160.1,2.91933609444193
LMTK3,2.91691175125438
AC108066.2,2.91489939240877
FBXO11,2.91478646184486
SESN1,2.91166191006465
AC098588.3,2.91163755177261
GRK5,2.90846078969519
AC097499.2,2.90732037706494
SQLE,2.89696223762124
SSBP2,2.89041972838827
TBC1D8,2.88937293277209
HAVCR2,2.88536773116846
LRRC7,2.8799075893905
PEAK1,2.87902515528884
ADAMTSL3,2.87767070335633
LRRC1,2.87610918676698
LINC-PINT,2.87082911578068
CAMKMT,2.86972940771933
AC005726.1,2.86937231446621
CLIP4,2.86404085377933
CHDH,2.86135857472647
GRB10,2.86001599908665
AC009435.1,2.85835923435742
