NAME,Freq
PPP1R15A,7.666138296
ATF3,6.813105153
CCND2,6.407840164
TCEAL9,6.304703199
KIAA1217,6.245513294
BCAS2,5.966140859
MXD1,5.885159184
LMO2,5.744573058
DNAJB6,5.682465291
IER5,5.516657495
EIF1B,5.484784445
HSP90AB1,5.462509828
ILDR2,5.424205622
HSPH1,5.358401318
CHORDC1,5.354335345
DNAJA1,5.345423025
HSPA6,5.238787499
STIP1,5.226112602
HSPA4,5.168859684
FOXP2,5.168118085
TSHZ1,5.146320396
CA13,5.11445124
BACE2,5.094749754
HSPD1,5.04189753
PTGES3,5.030269795
CSMD3,5.022825128
WDR1,5.00551473
AHSA1,4.982896427
ADAM9,4.975331119
CDKN1A,4.943716555
ST13,4.935173155
UCHL1,4.914720775
NEAT1,4.870275704
ACER2,4.842536024
FAIM2,4.83869338
PARD6G-AS1,4.82659958
HSPA9,4.825912179
UBE2B,4.812450074
CCT4,4.777487702
SLC7A5,4.777323383
TTC22,4.769267028
CADM3,4.737073551
BAIAP2,4.718501207
AC115618.1,4.71426534
PLEKHG4B,4.694172194
CCT5,4.608025706
CTH,4.602909254
HSPE1-MOB4,4.596473266
CAP2,4.570985787
STK40,4.55956264
MORF4L2,4.535199836
TRA2B,4.525560627
GRK5,4.514985164
CEBPG,4.506607438
AMIGO2,4.49998531
ZNF24,4.498030136
CMIP,4.497271592
SNX3,4.492328841
DEDD2,4.489559537
ELOVL5,4.471805305
HNRNPH2,4.435764026
SERPINH1,4.434929051
FXR1,4.429541605
BAG3,4.417732809
DNAJA4,4.417659893
RGMB,4.403774743
ZFAND2A,4.390734593
AC104695.2,4.387717708
CKS2,4.382598544
ACOT1,4.374980815
ACTRT3,4.362940584
GPR19,4.357963573
CFAP161,4.347326403
TCP1,4.347140065
TARS,4.321553001
HIST1H4C,4.317029791
IL6ST,4.315932436
TSPYL4,4.305276459
LINC01990,4.295166867
CACYBP,4.292515367
COX7C,4.287484834
UBC,4.270551724
CNDP2,4.257958679
INPP5A,4.25525514
TUBB4B,4.247562993
MEST,4.228045045
SRP14,4.226691943
HSPE1,4.224249397
COPS9,4.213711989
AC019186.1,4.206410523
EIF4A2,4.202802964
FKBP4,4.201071317
AP002373.1,4.188196739
MKNK2,4.158362821
SYNE1,4.154690713
TTC39B,4.151011273
RPL13,4.144848033
ACSL3,4.140396906
STAT6,4.13665181
TUBA1B,4.136498321
SQSTM1,4.133306731
RANGAP1,4.12960208
NDUFB2,4.126914598
TMEM243,4.122331869
RPS25,4.119998371
NR4A3,4.119953256
DNTTIP2,4.113590218
PAPOLA,4.105441332
HSPA1L,4.104626978
DNAJB1,4.094253976
PRKD2,4.092590341
P4HA2,4.090411759
P4HA1,4.066013359
STRAP,4.061139056
ME1,4.05997191
CLK1,4.058969152
TPT1,4.05580407
SH3BGR,4.049672528
CD59,4.047095136
MRPL18,4.037621176
XBP1,4.028515447
TET3,4.027904961
HUNK,4.024157651
AL035252.3,4.022627455
HSP90AA1,4.018427498
IRF2BP2,4.013347107
SERF2,3.994827751
RUVBL2,3.991172464
PGAP1,3.98766799
NUCB1,3.985100488
OOEP,3.978896334
GARS,3.975629835
BCL2L11,3.97206673
PSMB1,3.966632747
HSF1,3.966071199
NAA16,3.965435203
UBQLN1,3.959459958
SOD1,3.955653354
PCBP1,3.954641669
SRF,3.954416796
ATP6V1G1,3.951122716
DUSP3,3.950473626
HNRNPU,3.947110658
TENT4B,3.946771156
RADIL,3.939486876
SIPA1L2,3.938678387
XYLT1,3.936252535
SESN2,3.909990322
MRPL41,3.904836553
HSPB9,3.900938007
SALL3,3.894779067
ATP5F1E,3.89396033
MTCH1,3.887933676
PGM2L1,3.886419178
PPID,3.884976334
MCC,3.88320482
MMP16,3.880110545
CASZ1,3.878704968
ADGRL2,3.876121489
HSPA4L,3.87043873
UBE2D3,3.867034067
HPCAL1,3.863570302
TCEAL7,3.855468078
EPS8,3.854288546
BANP,3.835692794
HS3ST1,3.830566832
ATP6V0A1,3.829947081
MGARP,3.828443991
FAM53C,3.827911425
RBM23,3.826137876
NOP58,3.814190413
MIB1,3.813209838
GPR89B,3.807775952
ADAM33,3.807676558
TSHZ3,3.805340944
ATP5F1B,3.804848928
MRPS6,3.793983845
ATP2C1,3.792326352
C1orf226,3.790569286
TUBA4A,3.789578342
TRIO,3.789302118
HAP1,3.781895245
GHITM,3.781409457
NOS1AP,3.779871528
IARS,3.778736229
CCT6A,3.772421628
CCDC85B,3.771526229
UBE2QL1,3.766523365
AARS,3.759970913
HSPA1A,3.758154543
SGSM1,3.751061945
CCDC121,3.7431178
ACOT7,3.739731608
CARS,3.737068604
SGMS1,3.72901161
UBB,3.726884792
EIF5,3.726860469
CCT8,3.724218965
DLGAP1-AS2,3.723001296
NFKBIZ,3.721557952
PPDPF,3.714026586
ZYX,3.712850783
NFKB2,3.706123083
SERHL2,3.703604449
NDUFB4,3.702388105
BUD31,3.70161235
ITPRIP,3.691296829
PPM1G,3.689215505
FAM129A,3.689184184
HIPK1,3.686768745
GRHL1,3.684198001
MCU,3.683784324
WHRN,3.68317314
RANBP2,3.680768002
STAT3,3.675785739
FOSL2,3.666612706
NAXD,3.665612968
TMEM123,3.665039323
EIF1,3.664956121
SPATA2L,3.66238798
LARGE1,3.658503153
FAM13A,3.651163367
CREB3L4,3.648472909
CCDC117,3.647314154
PAF1,3.646122812
MCTP1,3.644246664
RAB12,3.643032774
IFRD1,3.638655363
ARID5B,3.635904688
DCAF5,3.634430979
ALKBH5,3.630492771
FGFR1,3.625383561
TMSB4X,3.624003365
GABARAPL1,3.621209082
CLK3,3.619120605
BCO2,3.616436288
MCL1,3.612939488
PTPN13,3.610488617
RPS6,3.609318497
BANF1,3.603894723
NXT1,3.598168341
AC108134.2,3.596014639
TOP1,3.593690629
RPL24,3.581847539
DKC1,3.573691362
VASN,3.563935922
PCBD1,3.561971884
HSPA8,3.560058598
BTBD9,3.559108079
NAP1L3,3.55876211
CRIM1,3.558146717
NKRF,3.554132872
SLBP,3.553328773
TLE3,3.550528411
TXN,3.549783115
BMX,3.547252232
NFATC2,3.541934809
RPL18,3.539945015
PCGF1,3.539121073
TRIM26,3.538390102
ENGASE,3.532387485
VGLL4,3.529153684
SPATA6L,3.525661383
MAFF,3.522863549
PDZRN3,3.522595564
CRY1,3.52154913
HNRNPF,3.520282102
BMT2,3.513056244
LIN7A,3.510379897
MSX1,3.509733701
DNAJB2,3.509209283
KTN1,3.505244185
PRNP,3.503299124
SARS,3.500695834
JMJD6,3.499998594
AC093673.1,3.496449076
ARF1,3.490642529
AC016773.1,3.489902076
RANBP3,3.48847808
PLOD2,3.484040083
ABHD3,3.478947424
ATP6V1B2,3.476593951
SMIM20,3.475739348
AKAP13,3.473503693
LARP4,3.471764693
ALPL,3.469920767
SELENOK,3.466857156
OSBPL1A,3.462748343
YARS,3.462366841
POLR2I,3.460425352
UBA1,3.460035042
HSPB1,3.456142768
C7orf50,3.452845464
SLC3A2,3.451002496
TSEN15,3.450585109
AC107952.2,3.447968367
AKNA,3.447409997
ANXA5,3.445034172
PTP4A1,3.44269924
NR4A1,3.441377543
RSL24D1,3.432502754
PCID2,3.431199163
LINC02003,3.428156662
OGA,3.427730217
LDLR,3.424968131
CYP39A1,3.424197716
TRPM4,3.422425778
PRR13,3.419344572
LINC00519,3.418966312
NUDC,3.418683233
CENPB,3.417367171
ATP10D,3.413734392
MLLT11,3.412629923
