NAME,Freq
LYVE1,13.72876409
MRC1,9.914627391
LILRB5,7.055383097
HRH1,7.028099537
ADGRG6,6.465404577
PEAK1,6.253660752
VMO1,6.158573891
MAMDC2,5.953701117
RPL13,5.732918705
CABLES1,5.705550137
RPS27,5.677406679
FOLR2,5.637391694
ATP6V0A1,5.610695223
ST7,5.500262511
ASAH1,5.478301848
AP2A2,5.432106261
RPS15,5.414658718
ATP6V0B,5.411541464
SSBP2,5.364170431
NSUN7,5.354835354
CDKN1B,5.323319322
PDE4DIP,5.28978227
TRPV4,5.265062268
H2AFZ,5.17877293
MAFG,5.162346826
RPL8,5.108935924
OGA,5.103994102
RPL19,5.102838774
TPP1,5.092922526
FXYD5,5.06903658
EGFL7,5.067736187
NBPF14,5.042215261
KLHDC8B,5.02731934
SULT1C4,4.99453206
CD63,4.979434603
RGL1,4.977422152
ZFAND5,4.961604146
RRAGD,4.955362562
WBP2,4.946365701
MXD1,4.9341227
RHOQ,4.916362618
CCDC50,4.906081008
SERF2,4.892157665
SARAF,4.878687487
CXCL2,4.849297597
ZHX2,4.849124627
PLEKHH2,4.832042112
RPS16,4.820743047
SMS,4.813339233
ATP6V1F,4.80929696
TSHZ3,4.798283877
DENND5B,4.748774545
RPL4,4.736841573
RBM5,4.724345763
CNRIP1,4.710296304
RENBP,4.709707387
PLXND1,4.651090954
LMBR1L,4.642272099
PNRC1,4.641972791
LGMN,4.632274845
SHMT1,4.62312856
MAPK1IP1L,4.612870846
CAMK2G,4.610306695
PSMA7,4.608079601
FTL,4.604945483
SF1,4.604160788
AC016831.7,4.584055701
SLC12A7,4.582571494
UBE2B,4.559905353
PHF10,4.558741921
NDUFAF5,4.558038547
TUT7,4.555452291
RPL3,4.553188608
SMARCA1,4.541288838
CAPN7,4.532987591
INTS6L,4.530114119
CPNE1,4.528483737
MGAT1,4.513407875
CCNH,4.507493605
YOD1,4.500266715
EIF2AK4,4.494685324
EMP2,4.493124097
YTHDC1,4.475443681
RPS5,4.474305278
SNN,4.472772609
SPATS2L,4.468820982
MGST3,4.46716212
OSER1,4.452169927
MARCH6,4.439198192
RPLP2,4.425246511
MEF2D,4.423257388
RASSF5,4.417205883
ARAP1,4.396058672
ABCD4,4.39542063
FGFR1,4.394879642
RPS25,4.382537854
LGR4,4.382049458
VEGFB,4.379195179
BEX4,4.364375926
HEXB,4.361525409
DAAM1,4.358994283
ARID4A,4.357381715
TSC1,4.354861126
DCXR,4.351178444
INPP5F,4.349227524
RPL27,4.345247158
RPL32,4.344504428
ATP6V1C1,4.333025114
RPL6,4.332239888
CREM,4.328496924
AGAP3,4.321269399
DCAF5,4.319237366
CHCHD2,4.314433101
TNFAIP3,4.298673513
PIAS2,4.298290183
CORO1B,4.292516419
SLC2A10,4.285585737
AP2M1,4.285548512
ATP5F1E,4.279087014
DDAH2,4.275713768
STAT6,4.274558943
LTBP2,4.27357787
PHB2,4.272572873
ITSN2,4.2705674
ARHGAP35,4.268835386
CERK,4.268543926
HECTD2,4.265381635
HBP1,4.261471301
PRNP,4.26055257
GNA13,4.258827631
BNIP3L,4.255558756
KLHL24,4.252460724
PDK3,4.250257663
DCTN2,4.249952806
MARK3,4.248306839
ARMCX3,4.244707436
IVNS1ABP,4.222646077
BMI1,4.22109092
ZSWIM8,4.217679109
MAP1LC3B,4.217277616
JOSD1,4.202946887
ZNF395,4.202154735
SAT2,4.200295158
HSPA9,4.197360195
NXF1,4.196954098
RPL28,4.196866183
SNRNP48,4.191286145
MANBA,4.187664391
FAM53C,4.187383671
RPL35,4.18352324
NDUFB4,4.182623883
ANKRD12,4.1800332
SF3B2,4.177721827
NECAP1,4.172879171
EMSY,4.16717803
RPS11,4.166100075
EPOR,4.155463728
ZNF331,4.155028331
SNCA,4.153481487
PLEKHM2,4.151920392
TBRG1,4.143669697
SLC2A8,4.140294461
MALT1,4.139718184
AKR1B1,4.132905076
LRRC37B,4.13184855
VCP,4.126447819
SQSTM1,4.122536157
PLEKHA5,4.119990735
CCDC93,4.113982336
SNX9,4.112642638
OGFRL1,4.107058305
KHDRBS1,4.106971043
PNRC2,4.10445795
MFSD1,4.094768174
RPL29,4.094565946
CDC14A,4.09394689
TPST2,4.090953324
BMPR1A,4.08480286
TCIRG1,4.084259715
ARG2,4.080786231
IQCJ-SCHIP1,4.080516742
SPIRE1,4.075163825
RPS18,4.072560776
CCNG2,4.053506052
ATG7,4.047033933
GNAS,4.04672233
RPS6,4.044128277
RAB9A,4.040213202
RALGPS2,4.040042467
TPT1,4.037495959
SAFB,4.030408842
