NAME,Freq
NFATC2,7.150933675
IQCJ-SCHIP1,5.846126978
HSPA1A,5.672805616
BAIAP2,5.594228665
CYFIP2,5.497533041
TPM2,5.216786179
HSPA1B,5.215338196
SEMA5B,5.190654003
TLL1,4.987389104
PKP4,4.924591281
MT-ND3,4.904948202
SLC25A39,4.864333716
MT-ND4,4.856000049
LHX2,4.791941885
ENGASE,4.709596927
AL662907.3,4.690649872
CCDC126,4.673602184
PLEKHA6,4.631522707
MAP2,4.563702071
CDKL1,4.535246035
ALOXE3,4.517386205
SESN2,4.483753956
TNS2,4.478984198
KIF1A,4.429685799
CDK2AP2,4.42118391
MT-CYB,4.40200569
AC006058.1,4.371347517
C2CD2,4.352304558
LYPD6,4.350429344
STAT5B,4.33978732
UCHL1,4.335648171
KLK14,4.311265955
HSD17B7,4.295469809
RGS2,4.275812252
FAM102A,4.275068697
WIPF1,4.269757393
AC107067.1,4.268652157
MAPT,4.260627614
FAM149A,4.239503014
COX7C,4.228734399
KCNJ3,4.211640393
DBP,4.208724957
CYYR1-AS1,4.203271881
CNOT3,4.199467891
SNHG12,4.192667409
KAT2A,4.15399383
ADAMTS20,4.15251774
ZNF706,4.142892166
RHOBTB3,4.128492064
MT-ND2,4.110017123
ZFAND5,4.101551109
SAT2,4.096005332
SLC2A13,4.079928049
C9orf153,4.062352383
NGF,4.055591304
NDUFAF6,4.04278528
NR1D1,4.03525063
MEA1,4.021299935
CTBP2,4.021146929
PLOD3,4.001913446
HEY2,3.99854412
RAN,3.983844311
PODN,3.979501504
STIP1,3.964791128
TSPYL4,3.95569015
BID,3.953526917
ERBB4,3.952857509
MKNK2,3.949262959
LSM7,3.936164552
AC091167.6,3.918229587
UBE2B,3.911989395
HDAC5,3.889920008
PCBP1,3.881624817
DDIT3,3.879504966
PCID2,3.87581716
LAMB3,3.852234047
THBS2,3.849959396
UBC,3.837279951
HSP90AA1,3.834654191
C16orf45,3.831663428
MARCH1,3.830030373
SH3KBP1,3.821040237
FBRSL1,3.816145448
MGAM,3.794985579
MAIP1,3.792423893
IDH2,3.786790704
DUBR,3.781458665
FRMD3,3.772406883
KIZ,3.769992621
DAZAP2,3.767806128
RAP1GDS1,3.767326631
ADAMTSL1,3.756911286
PPDPF,3.752607691
SLC7A5,3.752488924
PLEKHA5,3.750673944
COPS9,3.740146638
P2RX7,3.717105823
PTGES3,3.713195964
DDX11,3.708852306
SH3RF3,3.686377479
PPID,3.685346819
UBA1,3.678044202
BMP4,3.669704119
CDKN1A,3.669366051
DPF1,3.652488243
MRPL41,3.652073728
FHIT,3.649773125
SF3B2,3.629305637
DNAJB1,3.628801522
ATG4B,3.625414771
TNFSF13B,3.625395142
MPDZ,3.62257319
BMT2,3.62061712
DIO2,3.616368148
P4HA1,3.602672068
TPT1,3.585554553
IL17RB,3.576100233
KLRD1,3.57257545
LINC00997,3.552782832
CHORDC1,3.551807715
ZFYVE28,3.549801973
FKBP4,3.547665146
PQBP1,3.543250887
MXD4,3.543133932
SQSTM1,3.535466513
MAML2,3.528900744
BRD8,3.527821489
POLR2I,3.523905457
DTX3,3.52283093
ABCA9,3.510469044
PLPP4,3.508507647
HSPB1,3.500695578
C19orf53,3.499780525
GDNF,3.485790569
MT-ATP6,3.480903622
DNAJB2,3.476235173
UQCR10,3.468903744
ZNF32,3.468785345
MIEN1,3.464672273
AC005225.2,3.461086855
OOEP,3.45787408
AL445433.2,3.456924029
NDUFA6,3.452721826
THOP1,3.452430823
UBE2M,3.451494802
FAM50A,3.451289789
TSEN15,3.449554204
STX4,3.448395216
ADAM32,3.447756298
HIST1H4H,3.443378711
CALCOCO2,3.442775438
CAPZB,3.441102897
DNAJA1,3.433801497
SAP18,3.430392212
LRRC61,3.42965113
CAST,3.428594193
MT-ND4L,3.424055867
ZNF24,3.423788036
DRAP1,3.420224825
RAB6B,3.418766858
MLLT6,3.412976625
MICAL1,3.409176355
PDZRN3,3.405244381
RPL19,3.399786506
IRAK3,3.398767798
PCDH9,3.394365317
BGN,3.392635104
WDR6,3.39260269
MT-ND1,3.391479025
ADAM33,3.380701771
UST,3.378372562
C17orf67,3.36871735
PIAS4,3.36667217
RELN,3.361742042
ILKAP,3.360443739
SLBP,3.355314835
PRR13,3.354416938
U62317.3,3.350964634
CCDC59,3.350736118
ITSN2,3.34914116
DCDC1,3.34356673
RAPGEF1,3.34332573
ADAMTSL2,3.340697288
ZCCHC2,3.338568111
ATG101,3.336342375
EPB41L1,3.334842546
LINC01561,3.333228843
SLC5A4-AS1,3.329160892
PRRT1,3.322829605
TESK1,3.306308865
RPS13,3.304780671
RRAGB,3.304637231
SGSM1,3.297229102
CCT8,3.296284469
FDX1,3.29276712
HSPH1,3.288617867
OSBPL1A,3.287384695
AL136164.2,3.285719918
ARL6IP4,3.284645654
PPFIBP2,3.279819876
ABHD3,3.278934443
ZNF516,3.277505478
RUVBL2,3.277224227
PHF1,3.272115091
NES,3.271063978
BEND4,3.270427621
NDUFS2,3.267057541
SSB,3.266046073
TCEAL9,3.262635197
BEX2,3.262250008
ITGA2B,3.259232939
ZNF483,3.257328572
GTPBP6,3.255595859
HSP90AB1,3.253526638
NAA16,3.25290794
GCKR,3.252706491
AUP1,3.2523811
AHSA1,3.249463303
MKS1,3.249381124
SMARCA2,3.248559486
ZNF804A,3.241793905
ULK1,3.237550108
EIF3G,3.235087721
MAFG,3.231494648
SCAND1,3.231166429
ARHGAP5,3.230298236
PER1,3.224994285
ARHGEF7,3.223857793
TCP1,3.223090067
TIMM44,3.212198493
ST13,3.206363421
MLF2,3.203039478
CIART,3.201102822
PIP5K1C,3.19806247
EEF1A2,3.197150924
LPIN1,3.190754303
CHPT1,3.190680509
HSPD1,3.190270855
CERS6,3.189252607
RANGAP1,3.188714247
