NAME,Freq
RELN,6.58864451
SHISA2,5.873241891
SPRY1,5.261766692
TUBA1B,5.260237441
UBC,5.144765431
AL160290.2,5.141935127
HEY2,5.026322492
SCAND1,4.997011115
POU3F1,4.815695496
TSSC4,4.785409035
DNAJB1,4.765723153
MLF2,4.676213626
SPATA2L,4.534271286
ACTG1,4.499984761
HIST2H2BE,4.325055753
PSMA7,4.314901334
GRINA,4.289819894
ACTB,4.282681223
IRF2BP1,4.262912754
CBX6,4.24151425
GNB2,4.233033338
SGSM1,4.228580038
MT-ND3,4.201743906
HSPH1,4.196137843
PNMA1,4.17703492
SIRT2,4.149215845
TRIM28,4.141474829
NPTXR,4.103309739
CHAC1,4.098652734
TRIM47,4.06782253
STIP1,4.025309158
ATP6V0B,4.01340428
IRF2BP2,4.008718146
C11orf68,4.008540146
CRYAB,3.977121912
ANKRD7,3.964734805
CDCA8,3.948670198
TUBB,3.940144482
WBP2,3.928480971
ANKRD37,3.909474454
PTGES3,3.904395312
BORCS6,3.901873434
SLC22A17,3.893941909
PCSK1N,3.864412996
LARGE1,3.849635174
RCE1,3.832811313
GOLM1,3.816844034
UCK1,3.812917267
GJC2,3.802766782
AHSA1,3.792263282
TMTC1,3.786130322
EEF2,3.782538202
CXCR4,3.780154991
PHF1,3.778908986
SLC5A4-AS1,3.762375286
FOS,3.75468283
CDKN1B,3.751344855
CFL1,3.748450457
AC010325.1,3.745313509
EIF3G,3.741340631
FAIM2,3.738131652
NUDT16L1,3.725416902
PCBP1,3.719450788
UBE2B,3.718008502
SLC52A2,3.717177945
AL161772.1,3.695280428
HIST1H2BD,3.692850232
RNF126,3.690623932
GRASP,3.690597985
HCFC1,3.690390902
CACYBP,3.685787679
PKM,3.680410353
BHLHE41,3.679024833
PLPP2,3.672770811
VPS4A,3.671335752
HIST1H2BG,3.666886971
SYNE1,3.66615836
PTOV1,3.663647092
ALKBH5,3.660979785
BHLHE22,3.653810247
WFDC2,3.649734883
CDH6,3.640591452
AP2M1,3.634140414
HSPA9,3.631451146
CFAP161,3.627970668
ATP5F1D,3.627055204
SLC7A1,3.62674908
JUN,3.621463122
AKR1B1,3.619319978
EGR1,3.611941593
TSPAN17,3.610864231
UBASH3B,3.609906868
HLA-F,3.609059626
ELOF1,3.604366936
DNAJA1,3.601914154
AC093895.1,3.600733104
HSP90AA1,3.599876514
LINC01068,3.597848194
SIPA1L2,3.594546704
QDPR,3.589327057
MORF4L2,3.589209307
HSP90AB1,3.587104791
APLP2,3.582769413
SIGIRR,3.582617532
