"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AP001977.1",1.69824270368253e-83,4.38903905847975,0.426,0.065,5.09472811104758e-79
"MTRNR2L12",1.00157335604135e-76,-1.77237239674693,0.342,0.754,3.00472006812406e-72
"XIST",9.15068296512398e-75,3.51529416333673,0.359,0.034,2.74520488953719e-70
"RNF150",1.91213467223964e-67,-1.49873705925825,0.278,0.674,5.73640401671892e-63
"C1QC",4.45568447449041e-63,-2.0445008048439,0.229,0.576,1.33670534234712e-58
"CD74",4.99083010331657e-58,-1.44490137419339,0.549,0.795,1.49724903099497e-53
"KCNMA1",1.8597222190508e-56,1.18353639026003,0.871,0.716,5.5791666571524e-52
"HSP90AA1",3.18663182798108e-56,0.664470012786285,0.907,0.828,9.55989548394323e-52
"ACTB",5.18426110189915e-56,-1.27258042255811,0.461,0.75,1.55527833056975e-51
"VSIG4",6.71998237121742e-55,-2.06437033926805,0.177,0.501,2.01599471136523e-50
"CD14",2.2952769092807e-54,-2.55637457205535,0.129,0.435,6.88583072784209e-50
"FCGR1A",6.37052326078258e-53,-1.89821019647164,0.141,0.455,1.91115697823477e-48
"MARCKS",4.77672485943138e-52,-1.71064109133273,0.22,0.538,1.43301745782941e-47
"C1QB",3.94292192818658e-50,-1.33612015124996,0.313,0.635,1.18287657845597e-45
"C1QA",2.27247071068001e-49,-1.90377117687937,0.185,0.495,6.81741213204003e-45
"APOE",4.85717026810689e-48,-1.21845426085869,0.45,0.726,1.45715108043207e-43
"HSPH1",8.7571682214134e-48,1.72752701029858,0.657,0.455,2.62715046642402e-43
"BIN1",3.486338831197e-46,-1.3466623320741,0.415,0.697,1.0459016493591e-41
"EEF1A1",7.52751906623869e-46,-1.08076191933304,0.466,0.731,2.25825571987161e-41
"TMSB4X",1.1393529802789e-45,-1.10406744615915,0.541,0.762,3.41805894083671e-41
"CTSD",4.10910996926661e-45,-1.62924146740984,0.247,0.532,1.23273299077998e-40
"MAF",5.0052157752744e-45,-1.05941318364499,0.581,0.803,1.50156473258232e-40
"FCGR3A",5.23001701529746e-45,-1.69309931619713,0.211,0.5,1.56900510458924e-40
"CX3CR1",2.46836402412726e-44,-1.91924736761771,0.194,0.478,7.40509207238178e-40
"RPL13",7.86193544567759e-44,-1.18067612530223,0.434,0.689,2.35858063370328e-39
"ELMO1",2.87104114196752e-41,0.506047417283758,0.977,0.964,8.61312342590257e-37
"MICOS10",3.39455946199875e-41,-1.66617441947614,0.184,0.462,1.01836783859963e-36
"KLHL6",5.07270820994747e-41,1.73120717838787,0.623,0.397,1.52181246298424e-36
"ZFP36L1",2.06540511566599e-40,-1.01829564096326,0.581,0.802,6.19621534699798e-36
"RPL10",1.24255356847965e-39,-1.13234009490884,0.29,0.564,3.72766070543896e-35
"RPLP2",1.73955552758335e-39,-1.2599305280942,0.21,0.488,5.21866658275005e-35
"LINC02397",4.66783962625226e-39,3.04210267080397,0.25,0.045,1.40035188787568e-34
"PIM1",1.15990311712341e-38,-2.96626419530531,0.051,0.266,3.47970935137022e-34
"HLA-DRA",1.63844966887821e-38,-1.19129219172255,0.41,0.665,4.91534900663464e-34
"PSAP",4.54394003980268e-38,-0.93837137987107,0.59,0.787,1.3631820119408e-33
"GFAP",5.11534146881438e-38,-2.19888357258666,0.136,0.393,1.53460244064431e-33
"FRMD4B",7.87466493108873e-38,-0.705758516801122,0.693,0.879,2.36239947932662e-33
"FCGR1B",3.67247280873041e-37,-2.15430459382776,0.07,0.297,1.10174184261912e-32
"LRRK2",4.26313709524518e-37,1.46173946125196,0.635,0.425,1.27894112857355e-32
"FRRS1",4.79601490744017e-37,2.74582732893129,0.219,0.031,1.43880447223205e-32
"RPS14",7.17960086704579e-37,-1.18954002612376,0.231,0.5,2.15388026011374e-32
"RPS11",8.91047136157735e-37,-1.22963559558481,0.201,0.473,2.6731414084732e-32
"HLA-DRB1",4.5396682254704e-36,-1.20405541574115,0.33,0.587,1.36190046764112e-31
"NAIP",4.95686722865292e-36,-1.09299576092897,0.364,0.613,1.48706016859588e-31
"A2M",5.01050116297935e-36,-1.06891234806552,0.495,0.715,1.5031503488938e-31
"FOLR2",5.87873797870729e-36,-3.53958739431924,0.021,0.203,1.76362139361219e-31
"FGD4",6.67391051321427e-36,0.831201073580129,0.886,0.861,2.00217315396428e-31
"RPL41",3.98438549626291e-35,-0.861190566857683,0.287,0.559,1.19531564887887e-30
"TPT1",1.3513937972992e-34,-0.937666494836039,0.456,0.691,4.05418139189761e-30
"BHLHE41",1.10491434186737e-33,-0.880643263512966,0.521,0.753,3.3147430256021e-29
"RPL9",1.29832747159441e-33,-1.11601881680324,0.22,0.475,3.89498241478324e-29
"CD68",1.70158132688514e-33,-2.33178435930616,0.075,0.284,5.10474398065542e-29
"NEAT1",3.77488764852945e-33,0.612989471114976,0.988,0.987,1.13246629455883e-28
"TGFBR1",4.72020695824815e-33,-1.05592602685854,0.577,0.773,1.41606208747445e-28
"KCTD12",8.03984098086807e-33,-1.09967826373616,0.374,0.614,2.41195229426042e-28
"LINC00486",9.56197386858382e-33,-1.22444481962279,0.244,0.484,2.86859216057515e-28
"RPL3",1.34504071363298e-32,-1.33375258747729,0.229,0.476,4.03512214089894e-28
"EEF1G",1.44436696757636e-32,-1.43195668228893,0.19,0.434,4.33310090272907e-28
"C5orf17",6.55545972249093e-32,4.14519842698672,0.154,0.011,1.96663791674728e-27
"MBNL2",2.29350616458592e-31,0.930372245365414,0.755,0.622,6.88051849375775e-27
"PABPC1",5.41583867101972e-29,-0.959865905828148,0.457,0.673,1.62475160130592e-24
"SLCO2B1",1.04380510788464e-28,-0.576282354135651,0.735,0.878,3.13141532365393e-24
"SAT1",1.2967096192534e-28,-0.739009171664616,0.641,0.82,3.8901288577602e-24
"CD81",1.54986267970859e-28,-1.13537799577929,0.308,0.53,4.64958803912576e-24
"LAPTM5",1.96851453988147e-28,-1.15616897559229,0.373,0.6,5.9055436196444e-24
"PLD4",2.05188487347827e-28,-1.80206153131762,0.085,0.281,6.15565462043482e-24
"TMSB10",2.33384891314396e-28,-1.12284512447064,0.167,0.399,7.00154673943187e-24
"CSF1R",2.73921879818837e-28,-0.733714116732598,0.68,0.829,8.2176563945651e-24
"RPL28",4.67577265941886e-28,-0.881963351763387,0.338,0.581,1.40273179782566e-23
