"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KCNIP1",0,-2.61301181766395,0.293,0.828,0
"IFI44L",0,-4.08159203180488,0.092,0.495,0
"KCNMB1",0,-3.03679770065576,0.083,0.424,0
"DPYD",0,-1.57864452889413,0.48,0.805,0
"PLP1",0,-2.21826136114089,0.207,0.532,0
"TIAM1",0,-1.57793021603872,0.43,0.752,0
"XYLT1",0,-1.72325874540612,0.221,0.529,0
"RGL1",0,1.99485704679859,0.448,0.144,0
"XAF1",0,-2.09567477361513,0.186,0.488,0
"DLEU7",0,-1.98832085271235,0.375,0.674,0
"STARD13",0,1.53194840068132,0.724,0.428,0
"XACT",0,-2.75314355305017,0.081,0.374,0
"AC090833.1",0,-3.47830570818638,0.073,0.366,0
"ITPR1",0,-1.18884525794773,0.351,0.634,0
"DNAJB1",0,3.4961313454022,0.442,0.16,0
"MIR646HG",0,-1.33572817739964,0.447,0.724,0
"MERTK",0,1.67477906287503,0.82,0.544,0
"KIF26B",0,-1.5757188128005,0.225,0.499,0
"MRC1",0,3.60024700628065,0.31,0.036,0
"AC090579.1",0,-2.01690910465938,0.152,0.423,0
"SAMD9L",0,-2.12443739737064,0.149,0.413,0
"SYTL3",0,-0.910478901735777,0.296,0.558,0
"CCDC26",0,-1.60626403337525,0.236,0.498,0
"SHMT1",0,1.69379408832633,0.432,0.175,0
"EPSTI1",0,-1.64413503508632,0.328,0.585,0
"CX3CR1",0,-1.4580219455866,0.293,0.547,0
"RGS16",0,-3.56257302767309,0.088,0.342,0
"SLC22A23",0,1.59485734559158,0.525,0.275,0
"LINGO1",0,-1.08548622209906,0.365,0.611,0
"BAG3",0,4.86980490824945,0.303,0.06,0
"CHORDC1",0,3.4654679479108,0.468,0.226,0
"SLC2A3",0,-1.98514666198544,0.265,0.501,0
"LINC01091",0,-2.7716663958637,0.069,0.304,0
"KCNK13",0,-0.939600791204257,0.355,0.59,0
"GALNT10",0,-1.06721389024789,0.447,0.68,0
"SLC8A1-AS1",0,-1.69465824865505,0.216,0.449,0
"STIP1",0,2.38364902198751,0.407,0.175,0
"DDX60L",0,-1.47917238717287,0.268,0.499,0
"TRIM5",0,-2.09364922424868,0.124,0.353,0
"FKBP4",0,4.0429022316603,0.277,0.049,0
"PTGES3",0,3.18013914392166,0.676,0.45,0
"ATP1B3",0,1.5360546804567,0.475,0.251,0
"AC008691.1",0,-1.15394295986515,0.292,0.515,0
"ATP6V0A1",0,1.23865114182417,0.679,0.458,0
"MARCH1",0,-0.63487608173083,0.619,0.84,0
"CACNA1D",0,-0.431749899335185,0.481,0.701,0
"MX1",0,-2.34179500148143,0.125,0.344,0
"PDE4DIP",0,1.53615899612997,0.574,0.356,0
"SNAP23",0,2.64059724820325,0.595,0.377,0
"DPYD-AS1",0,-2.93796777173397,0.057,0.273,0
"ST13",0,2.51603298592815,0.405,0.189,0
"ABHD15-AS1",0,-1.35212523842137,0.418,0.631,0
"AC120193.1",0,-1.57985895545094,0.404,0.617,0
"LINC02232",0,-0.850358296287735,0.576,0.788,0
"IFI44",0,-2.03245044187405,0.125,0.337,0
"UBE2B",0,1.39074608843353,0.537,0.325,0
"DNAJA1",0,2.30502197665246,0.389,0.177,0
"MBOAT7",0,2.58737510575971,0.318,0.108,0
"DNAJA4",0,4.96510365741387,0.265,0.056,0
"ASAH1",0,1.01243644272001,0.747,0.538,0
"MARCH3",0,-0.740424001710332,0.424,0.631,0
"SERPINH1",0,4.86442229250714,0.242,0.035,0
"PTPRG",0,1.96795857839235,0.524,0.318,0
"LGMN",0,1.74178569417735,0.414,0.208,0
"ANKUB1",0,-1.50974478115381,0.339,0.544,0
"HSP90AB1",0,1.79095688770976,0.515,0.311,0
"SARAF",0,1.03297896527035,0.607,0.403,0
"AZIN2",0,-1.75035732401525,0.115,0.318,0
"TRERF1",0,-0.897027602527193,0.331,0.534,0
"AC007262.2",0,1.33273873277599,0.504,0.301,0
"SDCBP",0,1.17618005803297,0.545,0.343,0
"AP003481.1",0,-1.1635946690842,0.231,0.433,0
"TBC1D8",0,-1.27763950105251,0.274,0.475,0
"ITGAV",0,-1.0619760412243,0.476,0.676,0
"CA8",0,3.10306900077503,0.253,0.053,0
"MYO1E",0,1.04082791551198,0.69,0.49,0
"CACYBP",0,2.87071260665554,0.281,0.084,0
"HSPE1-MOB4",0,4.41561301082359,0.233,0.036,0
"KLHL6",0,1.66676618878986,0.631,0.435,0
"KLHL24",0,1.19455487655737,0.582,0.386,0
"HSPB1",0,2.52324740963726,0.472,0.276,0
"SEC14L1",0,1.22536136257372,0.696,0.5,0
"LPAR1",0,-1.00017028027368,0.283,0.478,0
"AP003086.2",0,-1.3339933082011,0.446,0.64,0
"AC044781.1",0,-1.08476241077132,0.329,0.523,0
